,empresa,cargo,ubicación,detalles
343,Danone,IT,"Cuajimalpa, CDMX","La transformación, la innovación y la eficiencia juegan un papel importante en Danone. Nos aseguramos de que las personas tengan los sistemas y las herramientas que necesitan, buscamos nuevas formas de usar la tecnología e introducimos innovaciones que ayuden al negocio a crecer de manera sostenible."
344,IBM,SOPORTE L2 CAJEROS AUTOMÁTICOS,Ciudad de México,"Introduction
System Services Representatives are the primary technical interface to clients for the coordination of hardware and software support and delivery of operational services. Sound pretty important? Absolutely! You will advise clients of preventive maintenance, configuration, operation and environmental factors which may drastically impact product performance or impair the client's IT operation.

Your Role and Responsibilities
Este rol es un colaborador responsable de la instalación, mantenimiento y reparación in situ de sistemas y componentes de IBM y de varios otros proveedores, incluyendo hardware, productos de red, software y sistemas operativos. Constituyen la interfaz técnica primaria de los clientes para la coordinación del soporte de hardware y/o software y la prestación de servicios operacionales necesarios para el cliente. Asesoran a los clientes en el mantenimiento preventivo, la configuración, la operación y los factores medioambientales que pueden afectar al rendimiento del producto o impedir la operación TI del cliente. También pueden realizar actividades de servicios tales como aseguramiento de sistemas, planificación de la instalación, gestión contable, determinación de problemas a nivel de sistema, discontinuidad y reubicación de sistemas y productos de IBM y de otros proveedores. Son responsables de asegurar un alto nivel de satisfacción del cliente con la prestación de servicios, soporte técnico y servicios operacionales para las cuentas de cliente. Ciando se produzcan situaciones críticas, serán la interfaz técnica de IBM con los clientes y gestionarán la situación hasta que se resuelva el problema. Tienen un conocimiento exhaustivo de la estrategia de soporte técnico de IBM y pueden articularla. Son responsables de la relación de valor técnico para proteger la base de ingresos e identificar nuevas oportunidades de servicios.

Required Technical and Professional Expertise
SOPORTE L2 CAJEROS AUTOMATICOS

Preferred Technical and Professional Expertise
SOPORTE L2 CAJEROS AUTOMATICOS

About Business Unit
At Global Technology Services (GTS), we help our clients envision the future by offering end-to-end IT and technology support services, supported by an unmatched global delivery network. It's a unique blend of bold new ideas and client-first thinking. If you can restlessly reinvent yourself and solve problems in new ways, work on both technology and business projects, and ask, ""What else is possible?"" GTS is the place for you!

Your Life @ IBM
What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
345,Jael Paredes,Analista de Sistemas Senior,Ciudad de México,"PORTO MX

Somos una empresa de Recursos Humanos con especialización en TI dedicada a proveer personal capacitado en tecnologías Php, Java y DotNet para proyectos temporales o permanentes. Nuestros servicios a nivel General son la Administración de Nominas, Staffing IT, R&S y más.

En este momento solicitamos:
Analista de Sistemas Senior

ZONA DE TRABAJO: Colonia Del Valle, Benito Juárez
SUELDO: $22,000.00 mensuales

REQUISITOS:
Escolaridad: Ingeniería Industrial o a fin,
Edad: 25 a 40 años
Sexo: Indistinto

EXPERIENCIA:
Al menos 6 años de experiencia en sistemas
Al menos 2 años en puesto similar
UML
Visio
Enterprise Architect

ACTIVIDADES:
Estarán participando en importantes proyectos del sector salud en la parte de análisis.

HABILIDADES:
Analítica
Proactivo
Organizado
Trabajo en equipo
Tolerante a la frustración
Comprometido
Sin problemas de horario

Interesados enviar CV con expectativas económicas y nombre de la vacante a jael.paredes@portomx.com"
346,"Avit Soluciones, S. de R.L. de C.V.",Soporte técnico IT,"Tijuana, B.C.","Descripción y detalle de las actividades
Contribución del puesto: Ejecuta las tareas necesarias para instalar físicamente las soluciones contratadas con el fin de cumplir con los compromisos establecidos con los clientes y dar soporte a los mismos. Responsabilidades del puesto: • Asegura que la solución contratada por el cliente funcione correctamente ejecutando la batería de • Proporciona soluciones a situaciones que se presentan con el cliente, analizando la falla y proporcionando alternativas con el fin de resolverla • Ejecuta el proyecto integrando los equipos que lo componen con el fin de cumplir con el compromiso establecido con el cliente • Generar tickets con requerimiento del cliente y seguimiento
Experiencia y requisitos
Perfil del puesto: • Tec. Sistemas, Tec. Telecomunicaciones, Tec. Informática, Tec. Computación, Tec. Electrónica, Tec. Mecatrónica o Tec. Redes • Conocimiento técnico en Electrónica, Instalaciones, Redes, Telecomunicaciones, Interpretación de diagramas • Facilidad de palabra, Proactivo, y excelente Actitud de servicio. • Trabajo en equipo, buena organización, enfoque a logros, dinamismo y propositivo(a)."
347,NEC de México,Ingeniero de Soporte en Tecnologías de Transporte Óptico,Ciudad de México,"NEC de México, S. A. de C. V. empresa multinacional Japonesa de Soluciones IT y Telecomunicaciones te invita a integrarte a su equipo de trabajo como:

Ingeniero de Soporte en tecnologías de transporte óptico

¡Estamos buscando tu Talento!

Actividades:
Soporte remoto y/o en sitio a los equipos (multiplexores SDH, sistemas Ethernet L2, C/DWDM)
Análisis de incidentes para generar planes de acción de mejora
Elaboración de reportes diversos internos y externos para monitorear los niveles de servicio.
Cubrir guardias de soporte en sitio de 7/24 en sistemas de transporte óptico de los equipos TM e infinera.

Envía tu CV indicando el nombre de la vacante, así como tus pretensiones económicas.
Requerimientos:
Requisitos:
Escolaridad: Ing. En Comunicaciones y Electronica.
Inglés: Intermedio.
Disponibilidad de tiempo de 7/24
Experiencia 1 año en soporte a 2do nivel
Habilidades Personales: Facilidad de comunicación verbal, trabajo bajo presión y en equipo, actitud de servicio, autodidacta.

Manejo y conocimiento indispensable de:
Sistemas de telecomunicaciones, SDH, SDH NG, C/DWDM
Soporte nivel 2"
348,Hampton by Hilton,Invitado Agente de Servicio,"Cancún, QRoo.","Ubicaciones de trabajo
:
Hampton Inn by Hilton Cancun Cumbres
Blvd. Luis Donaldo Colosio MZA 1 LTE 4-02, SM 310
Cancun 77560
Un Agente de Servicio al Huàsped ofrece servicios de acogida para personas de movilidad para contribuir a una experiencia excepcional en general desde el check-in check-out a travàs de auditorías completas y, cuando sea necesario.
¿Qué voy a estar haciendo?
Agente de Servicio al Huàsped, va a proporcionar los servicios de acogida para personas de movilidad para contribuir a una experiencia excepcional en general desde el check-in check-out a travàs de auditorías completas y, cuando sea necesario. Una recepcionista contribuye a las primeras impresiones de nuestros clientes y, por tanto, debe realizar las siguientes tareas para los más altos estándares:
lograr resultados positivos de las consultas de los clientes de manera oportuna y eficiente
asegurar una experiencia de recepción eficiente para personas de movilidad, incluyendo check in / out, y los procedimientos completos de auditoría, según sea necesario
Asegúrese de que el Gerente de Servicio al Huàsped se mantiene totalmente al tanto de cualquier información relevante de los clientes y, o, en otros departamentos
Demostrar un alto nivel de servicio al cliente en todo momento
Asistir a cursos de formación adecuados, cuando sea necesario, y ayudar con la formación del equipo de la Noche y los esfuerzos de desarrollo
Demostrar un conocimiento de las categorias de hotel, tarifas, paquetes, promociones y otros conocimientos general de los productos necesarios para realizar tareas diarias
maximizar la ocupación de habitaciones y uso de las técnicas de up-selling para promover los servicios e instalaciones del hotel
Utilice los procedimientos correctos con respecto a la aceptación de moneda extranjera, tarjetas de crédito y dinero en efectivo, de conformidad con la política de crédito hotel
Cumplir con la seguridad del hotel, la normativa contra incendios y toda la legislación salud y la seguridad
Ley, de conformidad con las políticas y procedimientos cuando se trabaja con el frente de los equipos de casa y los sistemas de gestión de la propiedad
Siga las normas de la empresa marca
Ayudar a otros departamentos, según sea necesario
¿Qué estamos buscando?
Agentes de servicio al huésped siempre están trabajando en nombre de nuestros clientes y trabajar con los miembros del equipo. Para completar con éxito esta función, debe mantener la actitud, comportamiento, habilidades y valores que siguen:
Experiencia anterior en una industria centrada en el cliente
Actitud positiva y buenas habilidades de comunicación
Compromiso de ofrecer un alto nivel de servicio al cliente
Excelentes normas de aseo personal
Capacidad para trabajar en su propio y como parte de un equipo
Competente nivel de dominio de IT
Seráa ventajoso en esta presión para que usted pueda demostrar las siguientes capacidades y distinciones:
Experiencia previa en el manejo de efectivo
¿Cómo sera la experiencia de trabajar para Hilton?
Hilton es la empresa líder mundial, que abarca el sector de alojamiento, desde hoteles de servicio completo de lujo y complejos turísticos hasta suites para estadías prolongadas y hoteles de precio medio. Durante casi un siglo, Hilton ha ofrecido a los viajeros de negocios lo mejor en alojamiento, servicio, esparcimiento y valor. Hilton está dedicada a continuar su tradición de proporcionar a sus huéspedes experiencias excepcionales a través de sus marcas globales . Nuestra visión ""para llenar la tierra con la luz y el calor de la hospitalidad - mediante la entrega de una experiencia excepcional - cada hotel, cada huésped, cada vez que"" nos une como un equipo para crear experiencias de hospitalidad notables en todo el mundo todos los días. Y, nuestros increíbles miembros del equipo están en el centro de todo!
EOE/AA/Minusválidos/Veteranos
Horario
: Tiempo completo
Marca : Hampton by Hilton
Turno
: Trabajo de día
Nivel de puesto
: Colaborador individual
Puesto
: Operaciones/Servicios para Huéspedes y Recepción"
349,Novamund,Especialista en soport de IT para Call Center,Ciudad de México,"Requisitos y responsabilidades:
Conocimiento avanzado de LAN
Instalación de LAN
Conocimiento de AD hoy la (configurar dominio en PC)
Conocimiento de MS Windows (instalación)
Conocimiento de productos MSOrientado al servicio con los clientes.
Experto en productos y servicios.
Especialista en análisis de sistemas.
Comunicador excelente tanto de forma oral como escrita.
Habilidades profesionales de uso de un ordenador y MS Office, incluyendo Word, Excel…
Facilidad de aprendizaje de nuevas tecnologías, así como experiencia haciendo pruebas en versiones beta de software.
Garantía de Calidad.
Experto en resolución de problemas.
Habilidad analítica y de diagnóstico de problemas, incluso antes de que estos sucedan.
Clientes informados periódicamente del progreso de los problemas que hayan surgido mediante llamadas telefónicas durante un periodo de tiempo definido.
Ayuda a miembros del equipo y provisión de soporte y soluciones a las preguntas de los clientes para lograr los objetivos de la compañía.
Mantenimiento del conocimiento actualizado de los productos de la compañía, así como de los servicios para proveer el mejor soporte posible al cliente.

Condiciones:
Trabajar según el Código del Trabajo
Tiempo completo = Salario + bonificación

Experiencia total
Más de 2 años en call center o empresa similar
Excelente comunicación Verbal y escrita
Experiencia y mentalidad sólida para la solución de problemas tecnicos.
Conocimiento del proceso de gestión del contenido del agente (base de conocimiento)
Gran capacidad para informar utilizando Word, Power-point
Habilidad de análisis con Excel

Condiciones:
Contrato Permanente."
350,Porto Mx,Líder de Proyecto en Sistemas,Ciudad de México,"PORTO MX
Somos una empresa de Recursos Humanos con especialización en TI dedicada a proveer personal capacitado en tecnologías Php, Java y DotNet para proyectos temporales o permanentes. Nuestros serviciosa nivel General son la Administración de Nominas, Staffing IT, R&S y más.

En este momento solicitamos:
LÍDER DE PROYECTO EN SISTEMAS


ZONA DE TRABAJO: Lomas deChapultepec
SUELDO: $ 31,500 MENSUALES


REQUISITOS:
Escolaridad: Ing. en Sistemas Computacionales, Informática o afín.
Edad: 25 a 35 años
Sexo: Indistinto


EXPERIENCIA:
Más de 3 años de experienciaen puesto similar.
De 1 a 2 años en lossiguientes módulos de SAP:
FI-CO
HHPP
Se evaluará liderazgo, empuje y dinamismo
80% Inglés

ACTIVIDADES:
Diseñar planes de trabajo y proyectos
Manejo y negociación con proveedores
Incorporar procesos
Manejo exclusivo de plataformas
Coordinar la solución y análisis a los problemas de usuarios

HABILIDADES:
Responsabilidad,honestidad, tolerante a la frustración.
Disponibilidad de horario.




Interesados enviar CV con expectativas económicas y nombre de la vacante al correo abajo indicado."
351,CADEN,PM intermedio o Líder de proyecto Sr. para Soporte remoto a IT,Ciudad de México,"Se requiere PM intermedio o Líder de proyecto Sr. para Soporte remoto a IT con las siguientes características:
Ingeniero o licenciado de carreras de sistemas o electrónica.
Conocimientos en:
Ventanas de servicio
SLAs
Niveles de severidad
Tiempos de atención (llamada) de la mesa de servicio
RCAs
Tickets
Backlog
IMAC de SW y HW
Control de IDCs
Fundamentos de ITIL
Practicas del PMI para manejo de proyectos
Manejo de herramientas de seguimeinto
Experiancia en administración de:
Soporte remoto de nivel 1.5 o 2.0 por medio de la herramienta que EL CLIENTE decida
Recepción de incidentes y/o requerimientos en la herramienta de incidentes y requerimientos que EL CLIENTE decida
Documentación, cierre de incidentes y requerimientos
Cumplimiento de niveles de servicio especificados en este documento para incidentes y/o requerimientos asignados a este servicio.
Dentro de un horario de atención/solución que se especifica en este documento
Emisión de reportes
Asignación del personal suficiente y necesario para la prestación de este servicio en base al horario especificado para el cumplimiento de los Niveles de Servicio descritos en este documento.
Contar con la aprobación del usuario para realizar la conexión remota a su equipo
Realizar el contacto con el usuario previo a la conexión remota a su equipo
Apego o uso de un “script” aprobado y en caso de que EL CLIENTE decida
Encuestas de Satisfacción
Matrices de escalamiento
HABILIDADES DE LIDER DE PROYECTO
Capacidad de manejo de personal y administración de proyectos.
Conocimiento de ITIL, (Deseable certificado en fundamentos V3 2011).
Conocimientos de Agile.
Desarrollo de estrategias para la optimización y eficiencia del proyecto.
Conocimientos avanzados en reparación de Hardware, sistemas operativos Microsoft Windows vigentes, herramientas de productividad Microsoft, periféricos de equipos de computo, básicos de telefonía, redes y cableado.
Conocimientos en Internet /Correo Electrónico.
Facilidad de Comunicación y trato de usuarios de alto rango.
Actitud de servicio.
Tener al menos un curso de liderazgo."
352,NEC de México,Técnico de Servicio Retail CDMX,Ciudad de México,"NEC de México, S. A. de C. V. empresa multinacional Japonesa de Soluciones IT y Telecomunicaciones te invita a integrarte a su equipo de trabajo como Técnico de Servicio para el Sector Retail.

¡Estamos buscando tu Talento!

Funciones:
Mantenimientos Preventivos a equipos de comunicación, POS y CCTV
Mantenimientos Correctivos a equipos de comunicación, POS y CCTV
Mantenimientos Express a impresoras
Renovaciones e Instalaciones de Equipos de Comunicaciones, POS y CCTV

Ofrecemos:
Sueldo base más bono por disponibilidad, prestaciones de ley, Seguro de Gastos Médicos Mayores y Seguro de Vida.
Zona de Trabajo Ciudad de México

Envía tu CV en formato Word o PDF al correo del contacto indicando el nombre de la vacante y pretensiones económicas.
Requerimientos:
Requisitos:
Escolaridad: Carrera Técnica en Tecnologías de la información, Telemática, Licenciatura en Sistemas Computacionales, trunca, pasante ó recien egresado.
Experiencia: 6 meses
Licencia de conducir: Indispensable
Disponibilidad para viajar: Indispensable
Habilidades Personales: Manejo de estrés, facilidad de habla y entendimiento, proactivo, puntual.

Conocimientos y habilidades:
Sistemas computacionales, Comunicaciones, Cableado estructurado, POS, CCTV"
353,Continental AG,IT Intern,"Delicias, Chih.","Tasks

Proyecto: Mejoras a la infraestructura

Necesidad/Justificación actual del Proyecto: Se requiere un practicante con la finalidad de que se involucre en el desarrollo de diversos proyectos que se basan en mejorar la Infraestructura que actualmente existe.

Objetivos/Entregable(s) esperados del Proyecto: Inventarios de la nueva infraestructura y cartas responsivas.

Objetivos de aprendizaje para el Intern: El objetivo es que conozca los parámetros de integración de diferente tecnología para beneficio y seguridad de la industria.

Principales actividades a realizar: Inventarios de Nuevo equipo, sea involucrado en la configuración, apoyo con pruebas de seguridad.

Qualifications

Estudiante activo de la carrera de Ing. Tecnologías de la Información o afín
Nivel de Inglés intermedio-avanzado.
Ser estudiante activo previo a 1 año para finalizar la carrera.
Paquetería office nivel Intermedio.
Disponibilidad de tiempo por las mañanas.
Responsable, proactivo, organizado.

Benefits

Reisekostenzulage
Gesundheitsvorsorge
Karriereberatung und Trainingsangebot
Kantine
Lebensversicherung
Gehaltsbonus
Mitarbeiter werben Mitarbeiter
Flexible Arbeitszeiten
About us

El área de negocio ContiTech desarrolla, fabrica y comercializa productos, sistemas y componentes inteligentes hechos de caucho, plástico, metal y textiles. Estos productos se usan en la minería, la agricultura, la ingeniería ferroviaria, la fabricación de máquinas y la construcción de plantas, la industria del automóvil y otros sectores importantes del futuro.

Keyfacts

Job-ID
169243BR
Function

Engineering
Nice to know

Continentals Spezialisten aus unterschiedlichen Disziplinen treiben den Trend des Automatisierten Fahrens mit aller Innovationskraft voran.
Direkt zur Karriere Website"
354,Magna International Inc.,Ingeniero de Procesos y Aplicaciones IT/OT,"Ramos Arizpe, Coah.","Número de Empleo: 16171
Grupo: Cosma International
División : CIMS - OpCo.
Tipo de trabajo: Permanente/regular
Localidad: Ramos Arizpe Coahuila

Descripción del grupo

Cosma ofrece una extensa gama de soluciones de carrocería, chasis e ingeniería a los clientes en todo el mundo. A través de nuestra solida ingeniería de productos, excepcionales capacidades de herramientas y variada experiencia en procesos, continuamos aportando al mercado productos ligeros e innovadores Resumen de la función
Desarrollar y mantener aplicaciones y servicios de IT/OT.
Analizando, documentando y generando proyectos de mejora a procesos y/o cumplimiento a estándares y políticas de la empresa.
Aplicando habilidades de comunicación, análisis y resolución de problemas para identificar, comunicar y resolver las áreas de oportunidad de la empresa maximizando el beneficio de las inversiones realizadas Responsabilidades clave
Análisis, Desarrollo e Implementación de Aplicaciones de Software
Administración y Operación de Bases de Datos y Servidores
Negociación con Proveedores y Clientes
Administración y Seguimiento a Proyectos
Proyectos de Innovación y Definición de Estándares y Procesos
Crear y mantener la documentación de todos los procesos, configuración de sistemas, mapeo y registro de actividades
Proveer orientación y entrenamiento a usuarios y clientes con respecto a los sistemas actuales y nuevos
Mantener y cumplir estándares locales y corporativos
Coordinar y llevar a cabo pruebas operativas y funcionales para garantizar la correcta operación de los sistemas nuevos y modificados
Administración y Cumplimiento de Políticas y Lineamientos de Seguridad y Corporativos
Análisis de Datos, Definición de Modelos y Creación de Sistemas de Aprendizaje Automatizado (ML / DA)
Definición de BD, Data Lake o esquemas para almacenamiento de grandes volúmenes de datos (Big DATA)
Analizar datos históricos, Segmentar información para Identificar Tendencas y Aprendizajes
Diseñar, desarrollar y mantener sistemas escalables y automáticos de reportes / tableros que soporten las necesidades del negocio Calificaciones/requerimientos clave
Ingeniería en Sistemas Computacionales o afin
Experiencia de 5 años en puesto similar
Desarrollo de aplicaciones o Fábrica de software
Conocimientos en paquetería Microsoft y/o otras aplicaciones ofimáticas
Recolección y Limpieza (o análisis) de Datos
Lenguajes de programación: Python, R, C++, C#, JAVA, etc.
Administración de Bases de Datos
Conocimientos Matemáticos y Estadísticos, Algoritmos de ""Machine Learning"", Analítica de Datos
Procesos de Manufactura, Materiales y/o Operaciones
Business Intelligence (BI) como PowerBI, Tableau
Uso de modelos de ""Machine Learning"" en ambientes de producción o industriales
Inglés - Intermedio (Escrito y Hablado)
ITIL / COBIT / TOGAF Fundamentos (deseable)
Deseable fundamentos de Robótica, Sistemas de Visión y/o PLCs
Fundamentos i4.0 como IoT, IIoT, Data Lake
Experiencia servicios Azure o AWS Información adicional"
355,Data Warden,Auditor IT,"Querétaro, Qro.","Job Type:
Permanente
Number of Positions:
1
Job Post Link:
https://datawarden.webhr.co/hr/careers/?jp=17392294
Job Description:
Gestionar entregas de información de requerimientos del auditor con las áreas de la empresa.
Documentar, exponer y sustentar los controles existentes sobre procesos y tecnologías auditadas
Revisión de la información entregada para identificar relaciones de datos y/o desviaciones a través de minería y análisis de datos
Dar seguimiento a proyectos de atención de recomendaciones de auditoria
Evaluar la efectividad de controles propuestos o correcciones realizadas para la atención de recomendaciones de auditoria
Generar informes de avances, estadísticos de requerimientos, planes de atención y auditorias en curso
Generar reportes técnicos y con alta calidad de sustento regulatorio para dar respuesta a posibles recomendaciones y/o cuestionamientos de los auditores

->Esta posición es para trabajar en la Ciudad de Quéretaro desarrollando proyectos con clientes de Data Warden.

Candidate Qualification:
Ingeniero/licenciado en sistemas, computación o informática; o alguna carrera a fin
Inglés: Avanzado
Candidate Experience:
Intermedio: Seguridad de la información, sistemas operativos y bases de datos
Avanzado: ACL o Excel (herramientas análisis de datos)
Gestión de proyectos (deseable en caso de falta de experiencia en gestión de auditorías)
Experiencia de 3 a 5 años en auditoria de TI (Auditor de TI, Gestor de auditorías, Evaluación de controles)
Experiencia de 1 a 2 años en Administración de proyectos o múltiples auditorias de forma simultanea"
356,"Bose Corporation, S.A. de C.V.",Tecnico IT Soporte Tecnico (Turno 7pm-7am),"Tijuana, B.C.","Descripción y detalle de las actividades
Descripcion General: El titular del puesto es responsable de proveer soporte técnico a usuarios de oficina y en un ambiente de manufactura, con habilidades para resolver problemas diversos de primer nivel, Debe ser la primera línea de soporte para cualquier evento relaciones con sistemas computaciones, debe conducir actividades básicas de instalación y análisis de problemas de cuestiones relacionadas a computadoras de escritorio, laptops, teléfonos, conexiones de red, impresoras y soporte básico a software, Funciones General: • Primera línea de atención para problemas relacionados con HW y SW de Tecnologías de la Información • Instalación de software para usuarios y configuración de dispositivos periféricos como impresoras y otros • Proveer soporte básico para problemas de sistemas y equipos en el piso de producción • Proveer soporte básico en computadoras de escritorio, laptops, impresoras, teléfonos, conexiones de red y SW en general • Ayudar con las conexiones de red y cambios en las distribuciones • Aplicar los estándares de soporte e instalaciones de la corporación Funciones Especificas: • Resolver los tickets que se les sean asignados y escalar con los analistas los problemas que salgan de su área de acción • Apoyar con soporte de primer nivel al área de Producción cuando es el único miembro del área en turno • Atender las llamadas que entran a la línea de soporte técnico • Atender a los usuarios que piden ayuda directamente en el departamento • Apoyar en la implementación de las iniciativas de los grupos corporativos • Apoyar en la implementación de proyectos de impacto local • Asignar políticas de acceso a usuarios y equipos de TI • Cargar imágenes corporativas en nuevo Hardware y reparaciones de HW existente • Instalación física de HW para los usuarios
Experiencia y requisitos
Requerimientos Especificos: • Educacion: Ingeniera o Licenciatura en el área de Tecnologías de la Información o afín. (Pasante o Titulado) Ingles básico hablado y escrito • Experiencia: Experiencia mínima de 1 año en soporte técnico Experiencia en entornos Microsoft, incluyendo paquetería de Office y Sistemas operativos Windows Experiencia en diagnóstico de HW de computadoras; basica en cableado estructurado Experiencia con sistemas de administración de tickets de trabajo / soporte remoto a usuarios Requerimientos Deseables • Entrenamiento y/o certificación en área de IT como A+, N+, MCP, ITIL, CCNA, etc. • Conocimiento en mantenimiento y reparación de impresoras Zebras • Entrenamiento y/o certificación en técnicas de solución de problemas • Conocimientos de sistemas operativos de Servidor en plataforma de Windows / Linux • Ingles hablado y escrito Candidato debe tener disponibilidad para laborar de 7pm - 7am de Miercoles a Sabado"
357,Kuehne+Nagel,Ing. Soporte Técnico IT (Infra),"Cuautitlán Izcalli, Méx.","Nos encontramos en la búsqueda de un Ing. Soporte Técnico de IT (Infra) para incorporarse a nuestro equipo de trabajo en Cuautitlán/Tlalnepantla.
Tu función
En este rol, el Analista de Soporte Técnico IT (Infra) deberá brindar servicio de soporte técnico de manera local para la resolución de problemas en equipos de cómputo, sistemas de comunicación y aplicaciones de usuarios internos asi como apoyo a usuarios externos.
Tus responsabilidades
1. Ayudar en la resolución de problemas técnicos a los usuarios de sistemas
2. Documentar en la plataforma de tickets la resolución de problemas técnicos
3. Brindar asesoría a los usuarios sobre el uso de los recursos informáticos
4. Dar soporte técnico (1er nivel) a los problemas de redes, computo, telefonía, RF y aplicaciones de escritorio
5. Buscar soluciones a problemas básicos de clientes externos (en cuanto a soporte técnico)
6. Reubicar equipos de cómputo y telefonía de acuerdo a los movimientos de personal
7. Brindar soporte técnico remoto a los usuarios en caso de contingencia
8. Reestablecer los sistemas post-contingencia
9. Ofrecer soporte técnico a todos los usuarios que lo requiera
Tus habilidades y experencias
Ing. en Sistemas o Redes (Titulado, indispensable)
CONOCIMIENTOS:
Microsoft SQL server versiones 2008 en adelante (deseable certificación)
Microsoft Windows server 2008 en adelante
Gestión de proyectos
Gestión de incidentes (ITIL)
Redes de datos LAN/WIFI WAN
VoIP
Sistemas CCTV y control de acceso
Deseable haber trabajado en centros de distribución
APTITUDES:
Proactivo
Trabajo en equipo
Excelente actitud de servicio
Altamente enfocado en atención a usuarios
Autodidacta
Por qué deberías unirte a nosotros
Únete a Kuehne + Nagel México donde podrás desarrollar tu carrera profesional en una Compañía líder en el sector de Logística y Comercio Internacional. Ofrecemos compensación competitiva, un paquete integral de beneficios, descuentos para empleados, excelentes programas de capacitación y un entorno de trabajo global altamente dinámico."
358,Grupo Posadas,GERENTE DE SISTEMAS,"Puebla, Pue.","Misión del Puesto
Ejecutar la planeación; análisis; desarrollo e implementación sistemas de información administrativos; de operaciones; control y toma de decisiones de la organización.Diseñar y proponer soluciones tecnológicas estratégicas que apoyen el crecimiento rentable de la empresa.
Áreas de Especialización
Sistemas de la Información
Sistemas de Operación Hotelera
TIC´S

Escolaridad
Licenciatura en Informática o Sistemas
Titulado
Paquetes Informáticos
Clarity
Office
Visio
Idiomas
Inglés
Español
Experiencia
Project IT Manager;Technical IT support ;Project Leader;2 años
Comentarios Adicionales
Manejo de equipos multidisciplinarios. Manejo de Proveedores de tecnología externos.Trabajo colaborativo con diferentes Áreas de Tecnología de Información dentro de Grupo Posadas.Entrega de información a diversas áreas de Posadas como Auditoría corporativa; Gestión Estratégica; Legal; Compras; Inmobiliaria y Recursos Humanos.
Principales funciones del puesto
Coordinar y apoyar la instalación de modificaciones, actualizaciones o versiones nuevas de los sistemas.
Mantener en operación los sistemas de cómputo para la operación hotelera y dar soporte a los usuarios de dichos sistemas.
Realizar los respaldos y depuración de la información de manera periódica y oportuna.
Revisar la correcta funcionalidad de la red de huéspedes.
Dar soporte a los usuarios de los sistemas computacionales del hotel."
359,"Prime Wheel México, S. de R.L. de C.V.",Auxiliar IT (Sistemas),"Tijuana, B.C.","Descripción y detalle de las actividades
- Conocimientos de hardware/Conocimiento sobre la estructura de una computadora - Habilidad de diagn'ostico Hardware/Software - Capacidad para resoluci'on de problemas - Lleva a cabo el mantenimiento preventivo y correctivo de los equipos de computo - Realiza la instalación y administración de telefonía, auxilia en la instalación de refes estructuradas.
Experiencia y requisitos
- Licenciatura o Ingeniería en Sistemas computacionales, Informática TIC's o afín. - Disponibilidad de horario - Inglés conversacional (60%) - Conocimientos en redes, cableado, sistemas operativos"
