,empresa,cargo,sueldo,ubicación,ultima_actualizacion,detalles
34,UNICOM TECHNOLOGIES INC,Magento E-Commerce Developer,$,"Chicago, Il, IL",moments ago,"Magento E-Commerce Developer
Chicago, IL
9+ months
Note :Client is looking for VISA independent candidates, they are not able to sponsor this time
Specific responsibilities include, but are not limited to:
Responsible for various developments to build and support the portal
In collaboration with the infrastructure team and security team and under the responsibility of the B2C Architect and Lead Developer, participate in the conception of the technical solutions in the e-commerce domain to meet the deployment plan defined by the group
Follow development rules defined by the core team to ensure the code quality, sustainability, solutions development capacity and compliance with established standards and best practices
Participate in the analysis and quotation for new projects and ensure quality in a continuous improvement process
Guide, control, and integrate the external and internal code developments of partners
Document and share the different produced evolution to users
Provide and ensure compliance with best practices for IT development
Ensure Wilson's development compatibility with the group portfolio platform
Ensure the scalability of the technical platforms in a challenging environment (multi-brands organization, interfaces to many systems, and different geographical areas/time zones)
Guarantee the best match between cost and quality in an Agile development workspace

Other qualifications include:
Expertise in the following technologies: Magento, PHP, and MySQL; HTML, CSS and JavaScript highly desirable
Demonstrates an ongoing and sustained professional commitment to meet the expectations of customers
Experience in designing highly scalable systems
Significant experience and expertise guiding internal/external developments of partners
Excellent team worker and comfortable with a matrix organization
Strong communication skills
Independent and has the necessary organization and anticipation skills to work independently
Expert in the Magento solution, Object-oriented programming, and the PHP eco-system
Good ability to analyze functional requirements and quote the associated developments"
35,UNICOM TECHNOLOGIES INC,Java/J2EE Tech Stack,$,"Basking Ridge, Nj, NJ",moments ago,"Java/J2EE tech stack
Basking Ridge, NJ
Note :Client is looking for VISA independent candidates, they are not able to sponsor this time
Key Skills
1. 3+ years experience writing soap/rest API's using core Java (utilizing frameworks like Spring Boot, etc.)

2. 3+ years of Devops experience

3. 3+ years experience with Node.js, GraphQL

4. 2+ years experience with Cassandra, Kafka, Mongo, Prometheus, Grafana
Job Description
Implementing API and data streaming capabilities, engineering telemetry solutions, building cloud deployment platforms, and working across fully automated stacks in a CI / CD ecosystem and implement product features in collaboration with IT stakeholders

Providing devops support for the APIs and enhancing devops model for the group

Design and implement product features in collaboration with IT stakeholders

Work very closely with architecture groups and drive solutions

Engineer innovative solutions to meet the needs of the business
What software tools/skills are needed to perform these daily responsibilities?


Experience with event driven architecture and technologies

Experience with distributed data stores at scale

Active in working with emerging technologies.

Experience working effectively across multiple functional areas in a metrixed environment
What skills/attributes are a must have?


3+ years of progressive software engineering experience

3+ years engineering platforms at scale in public + private clouds

Experience working across fully automated stacks in a CI / CD ecosystem

Agile DevOps delivery model experience"
36,Smart Deck Solutions Inc,Front End Mobile Engineer-REMOTE,$,"Austin, TX",moments ago,"Job Title: Front End Mobile Engineer- 100% Remote
Location: Austin or Texas, then CST, then MST
Full-time
The position of Front End Mobile Engineer will help to create new solutions for Client, and improve current solutions. The Front End Mobile Engineer position will be working primarily in React Native, developing, maintaining, and releasing builds.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Develop new features as defined and scheduled.
Write tests and QA as needed.
Maintain and release builds.
Be a role model of client Core Values: People; Client Focused; Trust; Innovation; Fun; Excellence and Teamwork
EXPERIENCE AND EDUCATION
Proficiency in Javascript and ES6 syntax
Proficiency in React Native
Experience with both Android and iOS development (in React Native)
Comfortable using Git


SKILLS AND QUALIFICATIONS
Must have proficient knowledge in:
Javascript features and syntax, including ES6, Promises, and writing classes
Development workflows, including git, semantic versioning, CI/CD
Working with a REST backend with authorization/authentication, i.e. managing access tokens and controlling authorization within the app
Writing unit tests and experience with TDD and/or BDD
Navigation libraries (React Navigation, etc.)
React Native CLI + Native package experience
Nice to have:
Have set up continuous integration libraries such as Travis, CircleCI, Jenkins
Experience in publishing and managing NPM packages
Knowledge of GraphQL and related libraries i.e. Apollo/Relay
Familiarity with JSON API
Released an app to either App Store or Google Play Store"
37,Smart Deck Solutions Inc,QA Manual Tester/Engineer with Automation,$,"Durham, NC",moments ago,"Position: QA Manual Tester/Engineer with Automation
Location: NYC
Duration: Long term
Interview Mode: Video Blue Jeans Link
Candidate needs to have strong experience on both Manual Testing and Automation Testing
Job Description :
Experience - 7+ Years
Genus
01. Requirement understanding & analysis

02. Creation of Test Plan/Test Strategy/ Test Approach

03. Knowledge of Test monitoring and control

04. Risk Management

05. Preparing Quality Metrics

06. Defect Management

07. Test Estimation

08. Review of Test cases

09. Test Reporting
10. Test case creation & Execution

11. Testing process models like Agile / V-model

12. Software testing life cycle

13. In-depth knowledge of different testing types

14. Experience and good knowledge of API testing using SOAP / Postman
Must Have :
Extensive experience of system integration testing with complex systems
Excellent knowledge of ecommerce domain and Retail Experience.
Resource will be involved in test planning, test monitoring, test metrics, test case creation, test execution and test estimation.
Extensive experience of testing in agile projects
Extensive experience in API testing
Good knowledge of tools like JIRA
Good knowledge of API automation


Skills
No. Of Years
Last Used
Experience in ecommerce domain and Retail
Experience in Manual Testing
Experience in Automation Testing
experience of system integration testing with complex systems
Experience in test planning, test monitoring, test metrics, test case creation, test execution and test estimation
experience of testing in agile projects
experience in API testing
knowledge of tools like JIRA
knowledge of API automation"
38,UNICOM TECHNOLOGIES INC,.Net/C# Developer,$,"Chicago, Il, IL",moments ago,".Net/C# Developer
Chicago, IL

Long Term
Note :Client is looking for VISA independent candidates, they are not able to sponsor this time
Required Skills:
11+ years of solid backend development experience in C#/.NET
Strong technical competency in an OOP language such as C#.NET, REST API development and the Atlassian suite of tools (Jira, Zephyr, Confluence) or other industry leading tool sets
Expert with frameworks such as .NET, .NET Core, Spring, Hibernate and understanding of UML (Unified Modeling Language)
Expert in object-oriented design, SOA, design patterns, development, implementation and maintenance.
Exceptional experience designing and implementing REST based Web Service API(s) in a transaction processing environment.
Strong experience in Cloud Native Applications and Micro Services Architecture
Strong experience in building enterprise scale web solutions based upon n-tier architecture using open-source technologies (Angular / React), Microsoft Web API, and SQL / No-SQL Databases.
Ability to analyze, propose and implement timely, cost effective, quality solutions for all issues or problems within area of responsibility
You should be comfortable in a fast-paced customer focused environment that continually embraces the latest technologies and techniques.
Working knowledge of Agile, Iterative development process and methodologies is essential
Demonstrated ability to work well under pressure in a fast-paced environment
Strong verbal, written and presentation communication skills.
Bachelor's in Computer Science or related discipline or relevant work experience.

Preferred Skills:
Knowledge of Kafka, Asynchronous Messaging, Event Steaming is highly preferred
Experience with distributed multi-tier applications, WMI, NO SQL databases, and SQL is preferred
Experience in developing applications using modern streaming technologies and protocols is preferred
Experience with MongoDB highly preferred
Experience with PCF preferred
Experience with source control systems like TFS or Bitbucket preferred
Experience with message queues (Rabbit MQ, Kafka) preferred
Experience with Continuous Integration environment using Bamboo and Bitbucket preferred
Experience with Performance testing is a plus
Experience with financial services or brokerage industry is a plus"
39,UNICOM TECHNOLOGIES INC,SAP business analysts,$,"Chicago, Il, IL",moments ago,"SAP business analysts
Chicago, IL
Note :Client is looking for VISA independent candidates, they are not able to sponsor this time
The main function of an SAP business analysts is to be the main conduit that translates business processes/requirements into system functionality. The typical SAP business analyst will support their functional areas by analyzing business needs.
Job Responsibilities:

Main Liaison to business functional areas partnering with business stakeholders, understanding their needs, prioritizing efforts, recommending changes/innovations, serving as the subject matter expert for their area of expertise.



System Design documenting requirements and developing solutions using standard or custom SAP functionality



Developing solutions performing SAP System Configuration, writing functional requirements for custom development



Coaching power user training and coaching, mentoring of other SAP Business Analysts



Skills:

In depth functional and configuration expertise in SAP SM (Service Management) which includes SAP SD (Sales and Distribution experience) along with SAP PM (Plant Maintenance) modules is required.

Experience working with Notifications and Service Orders/Preventive Maintenance/Sales processes/Contract and Warranty processes and pricing are some of the must have skill sets for this position

Analytical skills must include the ability to quickly identify problems, gather relevant information, determine the root causes, and make recommendations regarding solutions

Proactive, self starter who sets high standards for self and co workers.

Strong organizational skills ability to manage multiple competing tasks and adapt quickly to changes.

Excellent communication and interpersonal skills"
40,UNICOM TECHNOLOGIES INC,SDET Developer,$,"Chicago, Il, IL",moments ago,"SDET Developer
Chicago IL
Long term
Note :Client is looking for VISA independent candidates, they are not able to sponsor this time
Required Skills:
Experience in software development or QA automation, ATDD preferred.
Experience with WEB API and SOAP testing
Experience with JMeter, POSTMAN, Fiddler, Splunk
Understanding of QA practices (black box testing, risk-based testing, system testing, regression testing, exploratory testing, performance testing and load testing practices)
Strong technical competency in an OOP language such as C#.NET or an expert in test automation tools and the Atlassian suite of tools (Jira, Zephyr, Confluence), Selenium or other industry leading tool sets
Experience with unit testing, business layer testing and system integration testing.
Experience in testing large scale complex enterprise level application leveraging web technologies.
Experience in writing Test Cases, Test Plans, and Test Scripts
Experience with full software development life cycle, testing methodologies, version control systems, and quality assurance
Working knowledge of Agile, Iterative development process and methodologies is essential
Demonstrated ability to work well under pressure in a fast-paced environment
Strong verbal, written and presentation communication skills.
Bachelor's in Computer Science or related discipline or relevant work experience.
Experience with MongoDB highly preferred
Experience with PCF preferred
Experience with source control systems like TFS or Bitbucket preferred
Experience with message queue preferred
Experience with Performance testing is a plus
Experience with financial services or brokerage industry is a plus
Preferred Skills:
Knowledge of Kafka, Asynchronous Messaging, Event Steaming is highly preferred"
41,UNICOM TECHNOLOGIES INC,Database Architect,$,"Sylmar, Ca, CA",moments ago,"Database Architect
Sylmar, CA
Long Term
Only onsite candidates who can start onsite from day 1
10 or more years as a hands-on developer with a good mix of database development and maintenance
Strong in SQL and PL/pgSQL experience on Postgres UNIX/LINUX-based Environment
Strong Expertise on Azure Database for PostgreSQL and Cosmos DB (NoSQL).
8 or more years of UNIX/LINUX Shell scripting experience.
Strong understanding of Performance analysis, tuning and Optimization.
Must have Global and Localization of the Data Management across regions in Azure Cloud Platform.
Must have the Design expertise on Data Governance/Data Sovereignty
Must have Deep Knowledge on Medical domain expertise
Must have exposure to health care compliance standards and health level expertise.
Must be familiar and stay current with the industry best practices and trends related to data ingestion and database design/development.
Must be flexible and motivated to work in a fast-paced environment.
Willingness to learn and implement new Data Technologies as needed.
Participate in Database Design discussions and must have experience documenting Database High level and Detailed Level Design.
Coordinate and work with Development team for the needs that team will have.
Must work with Architect to ensure the challenges are pointed out and outlined to Architect and program manager in a timely manner.
Must have demonstrated experience in working with other database and application developers to define database architecture.
Must have experience in Database Migration Assistant and should have performed Production Database Migration for enterprise scale application from Oracle to PostgreSQL and NoSQL (Cosmos DB).
Should have experience working in model.an Onsite/Offshore"
42,Experis,QA Analyst,$47.00 - $49.00 per hour,"Charlotte, NC",moments ago,"Quality Engineer
Position Comments:

TCR or Teller Application experience

Selenium automation

JIRA

Test management tool experience - Test Rail


Status: Open
Sub Status:
Submitted:










Request Information





































Request: QA - Software Test Analyst II*
Request Code: JTC_Testing Analyst II
Qty: 1
Candidate Submission Limit Per Supplier:
Desired Start Date: 4/20/2021
Duration:
CMO Owner:
Position Comments:

TCR or Teller Application experience

Selenium automation

JIRA

Test management tool experience - Test Rail

Manager has approval for 1 position but working on increasing the QTY to 4 (all onsite in Charlotte)










General Information









Job Description: JOB SUMMARY:
Creates and maintains the processes of the division's quality program. Also provides consulting for software development or operations processes, quality practices, quality audits and software measurements to product development or operations teams within the division and to clients.
GENERAL DUTIES & RESPONSIBILITIES:


Develops, maintains and upgrades Manual or Automated test scripts, utilities, simulators, data sets and other programmatic test tools required to execute test plans.

Perform usability testing for total system performance, reliability, scalability, and security.

Effectively communicates testing activities and findings in oral and written forms.

Controls and manages own daily test activities.

Provides internal quality assurance.

Supports test lead to identify risks and develops mitigation strategies.

Organizes and maintains the test script library.

Performs other related duties as assigned.
EDUCATIONAL REQUIREMENTS:
Bachelor's degree or the equivalent combination of education, training, or work experience.
GENERAL KNOWLEDGE, SKILLS & ABILITIES:

Knowledge of methods, tools, and technology used in software testing

Knowledge and use of quality management methods, tools, and technology used to create and support defect-free, application software that meets the needs of the client/business partner

Knowledge of the basic principles, processes, phases and roles of application development methodologies

Knowledge of primary database engines with a demonstrated ability to write complex queries to be used for data validation and troubleshooting

Knowledge of object-oriented development tools, techniques, and principles with expertise in at least one object-oriented language

Knowledge of functions, features, and components of existing and planned operating systems and applications

Skill in understanding and focusing on the clients' needs

Skill in analysis, solid decision-making and problem solving

Ability to work in an agile development environment where developers and testing personnel work closely together to ensure requirements are met or exceeded

Ability to deliver results under pressure

Ability to demonstrate interpersonal and teambuilding skills, working with technical and non-technical individuals

Ability to communicate effectively verbally and in writing

Ability to establish and maintain effective working relationships with employees, clients, vendors and public"
43,UNICOM TECHNOLOGIES INC,Business Data Analyst,$,"Northridge, Ca, CA",moments ago,"Business Data Analyst
Location: Northridge, CA ( Remote till Covid)
Long term
Background in regulated (Medical device) is must
Familiarity with JSON and YAML data formats .is Must
10+ years of Experience as a Business Analyst to facilitate user needs gathering, develop use cases and perform change analysis by collaborating with stakeholders.
Experienced in defining detailed design specifications along with creating flowcharts, wireframes, swim-lane diagrams, sequence diagrams using tools like Lucid Chart etc.
Experience with Agile software development methodology using Scrum, Kanban and sprints.
Proficient with the different phases of software development lifecycle (SDLC), incl support to verification and validation with UAT and test design reviews.
Strong communication and presentation skills, should be able to drive conversations to decision making and/or provide solutions.
Experience working with offshore teams.
Experience in Data analytics.
Understanding of API definitions , data conversion & processing"
44,Experis,Test Automation Architect,$70.00 - $95.00 per hour,"Arlington, VA",moments ago,"Experis has partnered with a mission-driven, national organization with an outstanding reputation of being voted for 10 straight years as Computerworld's 100 Best Places to Work, in their search for an Test Automation Architect to join their team in Arlington, VA.

Priority qualifications needed for this role include:


Automation Methodology - Excellent knowledge and experience developing strategy and implementing test automation for various enterprises.

Automation Framework Development - Hands on familiarity in developing several types of automation frameworks from scratch.

Test Tools Experience - Experience with multiple test tools such as test management, test automation, automation platforms, development languages, and those associated with CI/CD implementation.

Process Maturity - Direct involvement in efforts to mature agile and DevOps practices for the organization as it relates to test automation, increased quality and optimization.

Leadership - be a leading resource and driver for change and process efficiency through the use of automation.


Job Description:

The position is for a highly motivated professional in test who has the depth and breadth of experience in automation to evaluate the various complexities of an organization and then develop and implement a strategic approach from the ground up. As an agent for change this professional is expected to meet current delivery quality standards while increasing the use of automation to drive increased throughput and test coverage efficiencies. This QA professional will work across multiple project teams composed of developers, project managers, scum masters and business owners to help shape the quality of a product and establish the maximum level of automated test coverage, while reducing the time of test cycles. This person must be an excellent communicator, able to deal with conflicting objects across teams, be highly organized and provide transparency with automation planning and implementations.

As an Automaton Architect you will also need to understand the various levels of testing from a functional/feature level, data validation, authentication and security and systems integration for a web-based application. Strong knowledge of ERP testing and the user experience is also essential. Soft skills with good verbal and written skills as well as presentations, metrics and reports is needed. The person must be flexible in addressing changing needs of the organization as it evolves and increase in maturity levels of agile while implementing CI/CD practices. The position must support test in a modern cloud based environment as well.

Experience Requirement:

-Bachelor's degree in Computer Science, MIS, related field or equivalent experience

-Minimum of 8+ years of software testing experience, actually testing a product, not just automation

-Minimum of 8+ years test framework development experience

-Minimum of 8+ years of experience with C#, Java

-Minimum of 5+ years of experience with API testing

-Experience with SQL is a plus

-Experience with .NET is a plus

Key Responsibilities:


Evaluate current state automation and establish gaps and prioritized recommendations for improvements

Provide a strategic approach and roadmap along with milestones to measure success

Build and maintain an automation test infrastructure that will cover all projects and adapt to the various levels of test required, this includes frameworks and clones of those frameworks, required automation test data, and automation test environments

Establish processes and tools necessary to expand the implementation of test and generate regular test run reports

Evaluate product functionality and feature sets to help establish realistic depth and breadth of test coverage through automation

Promote test case/test script accuracy and efficiency of execution

Maintain and enhance an automated testing platform and CI/CD pipelines to help build reliability, scalability and increase product quality

Participate in the design and implementation of test infrastructure to support a managed test service and Continuous Development / Continuous Testing

Participate in the creation of test scripts for automation and help in the migration of legacy manual scripts into automation

Participate in the training and mentoring of test automation and best practices for sprint implementation

Enforce automation best practices and standards for the entire test organizations

Explore automated solutions as the organization evolves and provide options for change

Preferred Skills:

Selenium, Cypress, C#, JIRA, TeamCity, GitHub, JavaScript, Postman, Agile Scrum & Agile Kanban, CI/CD/CT experience, .NET, SQL, Cucumber, SpecFlow, NUnit and Xray experience is a plus."
45,Kairos,Senior Java/MicroServices Developer,$,"Nyc, NY",5 minutes ago,"Job Title :Java/MS developer
Location : NYC
Job Description

Preferred Skills/Experience:
Extensive experience in Java 8, Spring boot, micro services architecture,
Knowledge of REST API design and specifications
Micro services patterns like gateway, discovery, config and sidecar services.
Any Internal and/or external cloud implementations [Either AWS, Azure or Google cloud]
Spring integration with Apache Kafka, AMQP, RabbitMQ or ActiveMQ
Knowledge of Apigee, security aspects like TLS, MTLS, oAuth2, session management.
Deployment tools using Docker, Kubernetes and overall DevOps
Experience in RDBMS like DB2,
Knowledge of NoSQL databases like Cassandra
CI/CD tools like Jenkins, Fortify, Sonar, blackduck."
46,Kairos,Security Architect,$,"Chicago, IL",5 minutes ago,"Title - Security Architect
Location Remote Till Covid) / Chicago IL (Preferred)
Job Description:
The Senior Security Architect is responsible for thought leadership in enterprise initiatives that involve the latest business demands such as cloud computing, mobile, virtualization as well as tried and true techniques such as access control, encryption, networking, and host security. This individual will be collaborating with the business and other technologies experts to develop defence in depth security reference architectures, security architecture standards and frameworks spanning all layers of security from host, server, and network to application and data security.
Job Responsibilities:
Identifies the need for new security technology solutions; designs, reviews and collaborates on the deployment of new solutions. Contributes to the development and implementation of security technology solutions for enterprise environments and architecture.
Participates in request for information/request for proposal (RFI/RFP) and vendor selection processes and leads the technical design of the deployment. Technologies might include: Database security; Enterprise encryption - application and whole disk; Authentication and Authorization systems such as two-factor, federated, single-sign-on, Active Directory/Light Weight Access Protocol (AD/LDAP); Cloud computing / virtualization; Container Security; Data leakage identification and prevention; Network/Wireless access controls; Intrusion Detection and Prevention; Security Incident and Event Management; Web application firewalls; Host based controls; Application gateway security controls; Voice over Internet Protocol (VOIP) security controls.
Acts as a subject matter expert on the implementation and capabilities of all existing security controls within WBA, particularly in the case of complex and complicated security issues.
Conducts system architecture reviews for new technology to ensure best practices, document security solutions, and enables re-use of processes.
Handles the ongoing documentation, development, implementation, and maintenance of processes, procedures, and services associated with architecture functions including ensuring requirements and deliverables are clearly defined.
Works with Operations teams to ensure security architectures are appropriately assessed and able to be supported.
Works with Engineering and Operations teams to implement new technologies and security solutions in alignment with industry best practice and commonly accepted principles of secure design.

Qualifications
Basic Qualifications:
Bachelor's degree and at least 5 years of experience in Information Security and IT designing and implementing enterprise solutions OR a High School Diploma / GED and at least 7 years of experience Information Security and IT designing and implementing enterprise solutions.
Available to work on call during evenings, weekends, and holidays
At least 3 years of experience translating technical data into business impact information and experience analyzing and troubleshooting various IT Security technologies.
At least 3 years of experience managing multiple tasks/projects simultaneously and meeting established deadlines.
At least 3 years of experience with security technologies such as, application security, cloud security, containerization, data leakage prevention, encryption techniques, identity and access management, mobile security, network security, and virtualization security.
Experience writing security standards, architecture documents, and baselines for infrastructure and applications.
Experience communicating conceptual and technical information both verbally (on phone, one-on-one, to groups) and in writing (emails, letters, reports, presentations) to various audiences (work group, team, company management, external clients).
Team leading skills
Thought leadership
Around customer focus, securing customer data

Preferred Qualifications:
Bachelor's Degree in Computer Science or MIS
At least 3 years of experience with Information Security Architecture or operations.
Knowledge of application security, cloud security, containerization, data leakage prevention, encryption techniques, identity and access management, mobile security, network security, and virtualization security."
47,Kairos,QA automation Tester,$,"Greenwood Village, CO",5 minutes ago,"Role: QA automation Tester / Functional Test Engineer
Location: Greenwood Village CO (Onsite)
Key skills: (Java, Selenium, Api Testing)
Job Description:
5+ years of experience in the application testing (Client/Server, API) in agile environment preferably in telecom domain
Hands on experience in preparing the test strategy, test plans, test estimation, workload design and test environment design
2-3 Years of experience in automation testing
Good Knowledge in Selenium with JAVA, Test Rail, Insomnia, POSTMAN, Jenkins, JIRA, Git, others
Working knowledge on Test Management tools like JIRA, Test Rail
Publish results and receive appropriate signoff. Prepare detail status reports, and monitoring of all defects and issues.
Strong problem-solving skills and time management skills.
Ability to work independently and bring in innovative approaches to automation
Strong written and verbal communication skills

Strong understanding of SDLC and defect life cycle"
48,Kairos,IAM (Identity Architect),$,"Chicago, IL",5 minutes ago,"Title - Identity Architect
Location Remote Till Covid) / Chicago IL (Preferred)
Job Description:
Summary:
The main function of an Identity Architect is to design, build, and oversee IAM services to support business compliance and ensure overall data security.
Job Responsibilities:
Identify security issues and risks, and develop mitigation plans
Architect, design, implement, support, and evaluate IAM-focused tools and services including project leadership roles
Develop and interpret security policies and procedures
Troubleshoot system issues
Participate in security compliance efforts
Interact with various departments and outside partners regarding IAM service use and/or issues
Develop and deliver training materials and perform general security awareness and specific security technology training
Evaluate and recommend new and emerging security products and technologies
Ability to hands-on execute and coach others on: OAuth 2.0 SAML 2.0 ADFS AzureAD Active Directory AzureAD Connect AzureAD Conditional Access
WBA Identity team has a need for Boots tenant remediation work. JD - ability to hands-on execute and coach others on: OAuth 2.0 SAML 2.0 ADFS AzureAD Active Directory AzureAD Connect AzureAD Conditional Access
Ability to hands-on execute and coach others on: Highly complex PingFederate integrations SSO, SAML, OAuth integrations w/PingFed Experience with AzureAD and ADFS PingID MFA

Qualifications:
Bachelor's degree in a technical field such as computer science, computer engineering or related field required
10+ years of experience is required.
Strong experience and detailed technical knowledge in security engineering, system and network security, authentication and security protocols, cryptography, and application security
Consistent implementation of security solutions
Experience in infrastructure or application-level vulnerability testing and auditing

Thanks
Rajkamal"
49,Kairos,Requirement for Network Engineer,$,"Atlanta, GA",5 minutes ago,"Hi,
Please let me know if you're comfortable with the position detailed below. This position is an urgent hire.
Title : Network Engineer
Location : Atlanta , GA
Duration : 12+ Months
Need Locals or who can be onsite .
Need excellent comm skills
Need to know Cisco Routing and Switching
Need to have experience with Aruba, Juniper and network Automation if possible.
Need someone that can build an offices network not just maintain an existing network.
Network Engineer:
Job Description
Design, implement, troubleshoot, and optimize network, data center, and security solutions
Troubleshoot and resolve network infrastructure issues
Staging and remotely deploying network equipment for new/converted sites
Job Requirements
5+ years of experience in Network engineering and support for mid-to-large network environments.
Exceptional knowledge of Cisco Routing/Switching.
Knowledge of Cisco security products such as ASA firewalls, IPS, IPSEC/SSL VPNs.
Experience working with multiple telecommunications carriers and technologies such as MPLS, Frame Relay, etc.
Cisco CCNA/CCNP
Extensive experience designing, implementing, and troubleshooting LANs using Cisco products.
Bachelor's Degree in a related technical discipline or the equivalent combination of education, technical certifications or training, or work experience.
Candidate must have excellent verbal and written communication skills.
Laxman | Kairos Technologies Inc
O: 214.389.5616 Ext 616 | Direct : 972.848.7314 | E: Click here to Apply"
50,Kairos,Sr. Full Stack .Net C# Developer,$,"Irving, TX",5 minutes ago,"Role: Sr. Full Stack .Net C# Developer

Location: Irving, TX

Duration: Long Term Contract
This is an opportunity for a Senior Full Stack C# Developer to work for a corporation in the Banking industry on a long-term project to re-platform all of their current applications. Many of the applications are also being developed and transition to the Cloud / Azure.
The Company is looking for C# Developers that have a driven, take initiative, problem solving, get things done attitude. They need you to use your own initiative in your work versus being directed to do things for every step.
They are looking for C# Developers that really want to do Full Stack Development including BDD Behavior Driven Development. They use Specflow integrating into Selenium for BDD. If you dont have BDD experience but have the aptitude to learn they will consider you if you have other experience such as TDD Test Driven Development and QA Automation experience. They also want someone who has SSIS Integration Services experience or really wants to learn. You will be doing BDD not TDD.
You need to be able to test your software / secure coding. Collaboration with teammates on Agile Scrum development projects is required. They follow Scrum (Professional Scrum Development) however any type of strong collaborative Agile development experience will be considered.
The current core applications are primarily UNIX and Progress based and have been evolving for the past 25 years. This is a multi-year effort to re-write and re-platform the applications to the Microsoft Technology Stack. You will work on the new projects but must also be open to maintaining the new applications as part of your work as the projects mature over the next three years.

RESPONSIBILITIES
Full stack development with C#
SQL Server - required - lot of integrations
Azure is highly preferred - Will be doing Native Azure Development ( will consider AWS or Google )
Angular 4 or above ( they are on Angular 7, 8 ) - Preferred
Agile / Scrum team development
BDD Business Driven Development is Highly Preferred and what the team is doing ( See notes in Profile Section below )
Responsive Web Design using UI / UX technologies like HTML5, jQuery, JavaScript, AJAX, CSS, AngularJS, Bootstrap, media queries, and Modernizer with an awareness of cross browser compatibility issues
Conduct Unit testing, Integration Testing, End-to-end testing, Functional Testing, Regression Testing, and Load Testing
Implement and develop best practices for the full software development life cycle, including coding standards, secure coding practices, code reviews, source control management, build processes, testing, and operations
Collaborate with development teams, business analysts, QA analysts, business owners and stakeholders to ensure customer specifications are met.
Deploy Web applications, services and components, including NuGet Package Manager
Troubleshoot environment/hosting-related issues (DNS, Load Balancing, IIS, Windows Server, SSL, Security Contexts, basic firewall and networking concepts)

PROFILE
Minimum of 10 or more years of experience in designing and developing C# web applications on relational databases like MS-SQL
SQL Server ( lot of integrations )
Cloud - Native Azure ( AWS, Google Cloud considered )
Full stack development with ASP.NET MVC front-end consuming Web API and/or WCF Services with Entity Framework
Angular 4 or above ( they are on 7 ) - Preferred
SSIS Integration Services is Highly Preferred ( full stack exp )
BDD Behavior Driven Development. They use Specflow integrating into Selenium for BDD. If you don't have BDD experience but have the aptitude to learn they will consider you if you have other experience such as TDD Test Driven Development and QA Automation experience. You will be doing BDD not TDD.
Proven agile experience. This is also required as they are looking for self-motivated and driven candidates that have worked in an Agile Scrum team.
Professional Scrum Developer Cert a plus ( not required )
Responsive Web Design using UI / UX technologies like HTML5, jQuery, JavaScript, AJAX, CSS, AngularJS 4.0, Bootstrap, media queries, and Modernizer with an awareness of cross browser compatibility issues
Solid architecture and development experience with object-oriented design principles and patterns with an understanding of developing loosely coupled, supportable, and maintainable code.
Proven Agile experience required. SCRUM experience preferred.
Conduct Unit testing, Integration Testing, End-to-end testing, Functional Testing, Regression Testing, and Load Testing
Implement and develop best practices for the full software development life cycle, including coding standards, secure coding practices, code reviews, source control management, build processes, testing, and operations
Collaborate with development teams, business analysts, QA analysts, business owners and stakeholders to ensure customer specifications are met.
Experience with setting up, configuring, and managing tools dedicated to code management and deployment strategies that support both iterative and continuous integration and development.
Deploy Web applications, services and components, including NuGet Package Manager
Troubleshoot environment/hosting-related issues (DNS, Load Balancing, IIS, Windows Server, SSL, Security Contexts, basic firewall and networking concepts)

Indira | Kairos Technologies Inc.

D: 972 430 7711 E:Click here to Apply"
51,Kairos,DevOps Engineer,$,"Denver, CO",5 minutes ago,"Familiarity with container orchestration services, especially Kubernetes
Familiarity with agile software development in Go, C/C++, Java, JavaScript
Experience administering and deploying development CI/CD tools such as Git, Jira, GitLab, or Jenkins
Orchestration tools (e.g. Terraform, CloudFormation).

Container technologies (e.g. Docker, Kubernetes).

System administration (e.g. RedHat, Debian).

Bachelor's Degree in Computer Science or equivalent professional experience.

Strong multi-tasking skills and active interest in the DevOps movement."
